measurement_timestamp,state_of_health,state_of_charge,voltage,current,temperature,cycle_count,capacity_fade,internal_resistance,data_source
2022-01-01T00:00:00,99.9,93.51,3.777,-8.41,30.3,24,0.1,0.0231,BMS
2022-01-01T02:52:48,100.0,31.49,3.362,1.21,25.5,0,0.0,0.017,OBD
2022-01-01T05:45:36,100.0,67.25,3.575,4.87,19.8,0,0.0,0.0179,OBD
2022-01-01T08:38:24,100.0,46.38,3.475,-9.26,28.9,0,0.0,0.0216,CAN
2022-01-01T11:31:12,99.96,32.57,3.396,-8.29,18.5,10,0.04,0.0155,OBD
2022-01-01T14:24:00,100.0,81.5,3.701,-7.85,29.7,0,0.0,0.0227,BMS
2022-01-01T17:16:48,100.0,56.44,3.558,-1.64,31.6,0,0.0,0.0195,CAN
2022-01-01T20:09:36,100.0,63.52,3.626,10.96,27.0,0,0.0,0.0186,CAN
2022-01-01T23:02:24,99.98,50.07,3.515,-0.14,23.5,5,0.02,0.0212,OBD
2022-01-02T01:55:12,99.99,70.32,3.652,10.78,31.7,0,0.01,0.0217,BMS
2022-01-02T04:48:00,99.99,79.13,3.684,-11.15,22.1,0,0.01,0.0201,OBD
2022-01-02T07:40:48,99.99,43.16,3.483,-0.92,30.5,0,0.01,0.0177,OBD
2022-01-02T10:33:36,99.98,36.33,3.451,-6.21,33.5,4,0.02,0.0217,OBD
2022-01-02T13:26:24,99.76,66.5,3.586,5.4,27.7,58,0.24,0.0207,BMS
2022-01-02T16:19:12,99.99,52.35,3.512,6.4,18.2,0,0.01,0.0168,OBD
2022-01-02T19:12:00,99.99,89.17,3.736,11.11,32.7,0,0.01,0.0266,OBD
2022-01-02T22:04:48,99.93,42.0,3.477,12.49,29.5,14,0.07,0.0233,OBD
2022-01-03T00:57:36,99.93,33.38,3.404,6.67,17.0,16,0.07,0.0165,OBD
2022-01-03T03:50:24,99.75,72.6,3.686,-8.34,26.2,59,0.25,0.0187,OBD
2022-01-03T06:43:12,99.99,57.89,3.608,3.72,35.7,0,0.01,0.0221,BMS
2022-01-03T09:36:00,99.99,98.86,3.842,-0.54,37.1,0,0.01,0.0239,Sensor
2022-01-03T12:28:48,99.99,39.44,3.423,13.72,25.8,0,0.01,0.0237,OBD
2022-01-03T15:21:36,99.97,66.61,3.637,-0.56,28.1,5,0.03,0.0194,BMS
2022-01-03T18:14:24,99.88,60.91,3.642,11.67,52.0,27,0.12,0.0224,OBD
2022-01-03T21:07:12,99.99,53.93,3.508,-9.68,28.1,0,0.01,0.02,CAN
2022-01-04T00:00:00,99.98,71.8,3.645,4.2,33.5,0,0.02,0.0234,Sensor
2022-01-04T02:52:48,99.98,34.66,3.433,-9.75,33.7,0,0.02,0.0251,OBD
2022-01-04T05:45:36,99.98,60.35,3.592,14.06,25.8,0,0.02,0.0235,CAN
2022-01-04T08:38:24,99.98,66.36,3.621,1.84,23.8,0,0.02,0.0179,CAN
2022-01-04T11:31:12,99.98,56.07,3.54,-0.61,20.6,0,0.02,0.0238,BMS
2022-01-04T14:24:00,99.98,82.99,3.699,12.56,24.3,0,0.02,0.0224,CAN
2022-01-04T17:16:48,99.54,43.73,3.46,-7.78,25.3,109,0.46,0.0192,OBD
2022-01-04T20:09:36,99.98,63.6,3.602,8.06,27.0,0,0.02,0.0222,OBD
2022-01-04T23:02:24,99.82,47.31,3.51,-0.7,38.9,40,0.18,0.0219,BMS
2022-01-05T01:55:12,99.71,74.38,3.655,14.72,26.0,68,0.29,0.0224,CAN
2022-01-05T04:48:00,99.98,86.3,3.741,-8.07,25.1,0,0.02,0.02,CAN
2022-01-05T07:40:48,99.77,27.85,3.367,5.24,25.6,52,0.23,0.0206,BMS
